2025-02-04 14:59:41,914 - Epoch: 1.0, Eval Loss: 0.626226544380188, Exact Match: 0.0, Multilabel Accuracy: 0.660458452722063, F1 Macro: 0.0, F1 Micro: None, Hamming Loss: 0.33954154727793695
2025-02-04 15:04:00,768 - Epoch: 26.0, Eval Loss: 0.6256659626960754, Exact Match: 0.0, Multilabel Accuracy: 0.660458452722063, F1 Macro: 0.0, F1 Micro: None, Hamming Loss: 0.33954154727793695
2025-02-04 15:04:10,611 - Epoch: 27.0, Eval Loss: 0.6255022883415222, Exact Match: 0.0, Multilabel Accuracy: 0.660458452722063, F1 Macro: 0.0, F1 Micro: None, Hamming Loss: 0.33954154727793695
2025-02-04 15:04:20,426 - Epoch: 28.0, Eval Loss: 0.6255899667739868, Exact Match: 0.0, Multilabel Accuracy: 0.660458452722063, F1 Macro: 0.0, F1 Micro: None, Hamming Loss: 0.33954154727793695
2025-02-04 15:04:31,446 - Epoch: 29.0, Eval Loss: 0.6256033778190613, Exact Match: 0.0, Multilabel Accuracy: 0.660458452722063, F1 Macro: 0.0, F1 Micro: None, Hamming Loss: 0.33954154727793695
2025-02-04 15:04:41,271 - Epoch: 30.0, Eval Loss: 0.6256152391433716, Exact Match: 0.0, Multilabel Accuracy: 0.660458452722063, F1 Macro: 0.0, F1 Micro: None, Hamming Loss: 0.33954154727793695
2025-02-04 15:04:51,487 - Epoch: 31.0, Eval Loss: 0.6257847547531128, Exact Match: 0.0, Multilabel Accuracy: 0.660458452722063, F1 Macro: 0.0, F1 Micro: None, Hamming Loss: 0.33954154727793695
2025-02-04 15:05:03,091 - Epoch: 32.0, Eval Loss: 0.6256826519966125, Exact Match: 0.0, Multilabel Accuracy: 0.660458452722063, F1 Macro: 0.0, F1 Micro: None, Hamming Loss: 0.33954154727793695
2025-02-04 15:05:12,849 - Epoch: 33.0, Eval Loss: 0.6255738139152527, Exact Match: 0.0, Multilabel Accuracy: 0.660458452722063, F1 Macro: 0.0, F1 Micro: None, Hamming Loss: 0.33954154727793695
2025-02-04 15:05:22,654 - Epoch: 34.0, Eval Loss: 0.6256700158119202, Exact Match: 0.0, Multilabel Accuracy: 0.660458452722063, F1 Macro: 0.0, F1 Micro: None, Hamming Loss: 0.33954154727793695
2025-02-04 15:05:33,669 - Epoch: 35.0, Eval Loss: 0.6256009340286255, Exact Match: 0.0, Multilabel Accuracy: 0.660458452722063, F1 Macro: 0.0, F1 Micro: None, Hamming Loss: 0.33954154727793695
2025-02-04 15:05:43,483 - Epoch: 36.0, Eval Loss: 0.6255075335502625, Exact Match: 0.0, Multilabel Accuracy: 0.660458452722063, F1 Macro: 0.0, F1 Micro: None, Hamming Loss: 0.33954154727793695
2025-02-04 15:05:53,241 - Epoch: 37.0, Eval Loss: 0.6256129741668701, Exact Match: 0.0, Multilabel Accuracy: 0.660458452722063, F1 Macro: 0.0, F1 Micro: None, Hamming Loss: 0.33954154727793695
2025-02-04 15:06:04,225 - Epoch: 38.0, Eval Loss: 0.6256020665168762, Exact Match: 0.0, Multilabel Accuracy: 0.660458452722063, F1 Macro: 0.0, F1 Micro: None, Hamming Loss: 0.33954154727793695
2025-02-04 15:06:14,056 - Epoch: 39.0, Eval Loss: 0.62564617395401, Exact Match: 0.0, Multilabel Accuracy: 0.660458452722063, F1 Macro: 0.0, F1 Micro: None, Hamming Loss: 0.33954154727793695
2025-02-04 15:06:23,838 - Epoch: 40.0, Eval Loss: 0.6257284879684448, Exact Match: 0.0, Multilabel Accuracy: 0.660458452722063, F1 Macro: 0.0, F1 Micro: None, Hamming Loss: 0.33954154727793695
2025-02-04 15:06:34,871 - Epoch: 41.0, Eval Loss: 0.6255528330802917, Exact Match: 0.0, Multilabel Accuracy: 0.660458452722063, F1 Macro: 0.0, F1 Micro: None, Hamming Loss: 0.33954154727793695
2025-02-04 15:06:44,640 - Epoch: 42.0, Eval Loss: 0.6256337761878967, Exact Match: 0.0, Multilabel Accuracy: 0.660458452722063, F1 Macro: 0.0, F1 Micro: None, Hamming Loss: 0.33954154727793695
2025-02-04 15:06:54,474 - Epoch: 43.0, Eval Loss: 0.6256084442138672, Exact Match: 0.0, Multilabel Accuracy: 0.660458452722063, F1 Macro: 0.0, F1 Micro: None, Hamming Loss: 0.33954154727793695
2025-02-04 15:07:05,510 - Epoch: 44.0, Eval Loss: 0.625625491142273, Exact Match: 0.0, Multilabel Accuracy: 0.660458452722063, F1 Macro: 0.0, F1 Micro: None, Hamming Loss: 0.33954154727793695
2025-02-04 15:07:15,338 - Epoch: 45.0, Eval Loss: 0.6255139708518982, Exact Match: 0.0, Multilabel Accuracy: 0.660458452722063, F1 Macro: 0.0, F1 Micro: None, Hamming Loss: 0.33954154727793695
2025-02-04 15:07:26,342 - Epoch: 46.0, Eval Loss: 0.6255564093589783, Exact Match: 0.0, Multilabel Accuracy: 0.660458452722063, F1 Macro: 0.0, F1 Micro: None, Hamming Loss: 0.33954154727793695
2025-02-04 15:07:36,095 - Epoch: 47.0, Eval Loss: 0.6256507635116577, Exact Match: 0.0, Multilabel Accuracy: 0.660458452722063, F1 Macro: 0.0, F1 Micro: None, Hamming Loss: 0.33954154727793695
2025-02-04 15:07:45,905 - Epoch: 48.0, Eval Loss: 0.6256012320518494, Exact Match: 0.0, Multilabel Accuracy: 0.660458452722063, F1 Macro: 0.0, F1 Micro: None, Hamming Loss: 0.33954154727793695
2025-02-04 15:07:56,911 - Epoch: 49.0, Eval Loss: 0.6255968809127808, Exact Match: 0.0, Multilabel Accuracy: 0.660458452722063, F1 Macro: 0.0, F1 Micro: None, Hamming Loss: 0.33954154727793695
2025-02-04 15:08:06,645 - Epoch: 50.0, Eval Loss: 0.6256486773490906, Exact Match: 0.0, Multilabel Accuracy: 0.660458452722063, F1 Macro: 0.0, F1 Micro: None, Hamming Loss: 0.33954154727793695
2025-02-04 15:08:16,444 - Epoch: 51.0, Eval Loss: 0.625588059425354, Exact Match: 0.0, Multilabel Accuracy: 0.660458452722063, F1 Macro: 0.0, F1 Micro: None, Hamming Loss: 0.33954154727793695
